Language,PSA_ID,Subject,Match,V_RT,V_Acc
English,GBR_014,site_GBR_014_33,Y,484.5,0.9166666666666666
English,GBR_014,site_GBR_014_34,N,636.5,1
English,GBR_014,site_GBR_014_34,Y,572,0.9166666666666666
English,GBR_014,site_GBR_014_35,N,529,0.9166666666666666
English,GBR_014,site_GBR_014_35,Y,493,1
English,GBR_014,site_GBR_014_36,N,490.5,1
English,GBR_014,site_GBR_014_36,Y,462,0.9166666666666666
English,GBR_014,site_GBR_014_37,N,704,1
English,GBR_014,site_GBR_014_37,Y,660.5,1
English,GBR_014,site_GBR_014_38,N,537,0.9166666666666666
English,GBR_014,site_GBR_014_38,Y,476.5,1
English,GBR_014,site_GBR_014_39,N,447,1
English,GBR_014,site_GBR_014_39,Y,456,1
English,GBR_014,site_GBR_014_4,N,467.5,0.8333333333333334
English,GBR_014,site_GBR_014_4,Y,500,0.9166666666666666
English,GBR_014,site_GBR_014_40,N,556.5,1
English,GBR_014,site_GBR_014_40,Y,567,1
English,GBR_014,site_GBR_014_41,N,961,0.75
English,GBR_014,site_GBR_014_41,Y,795,0.9166666666666666
English,GBR_014,site_GBR_014_42,N,581,1
English,GBR_014,site_GBR_014_42,Y,588.5,1
English,GBR_014,site_GBR_014_43,N,652,0.9166666666666666
English,GBR_014,site_GBR_014_43,Y,620,1
English,GBR_014,site_GBR_014_44,N,440,0.9166666666666666
English,GBR_014,site_GBR_014_44,Y,432,1
English,GBR_014,site_GBR_014_45,N,369.5,0.9166666666666666
English,GBR_014,site_GBR_014_45,Y,384,0.9166666666666666
English,GBR_014,site_GBR_014_46,N,567,0.9166666666666666
English,GBR_014,site_GBR_014_46,Y,548.5,0.9166666666666666
English,GBR_014,site_GBR_014_47,N,612,1
English,GBR_014,site_GBR_014_47,Y,688,0.9166666666666666
English,GBR_014,site_GBR_014_48,N,475.5,0.9166666666666666
English,GBR_014,site_GBR_014_48,Y,513,1
English,GBR_014,site_GBR_014_49,N,535.5,1
English,GBR_014,site_GBR_014_49,Y,584.5,1
English,GBR_014,site_GBR_014_5,N,631,1
English,GBR_014,site_GBR_014_5,Y,558.5,1
English,GBR_014,site_GBR_014_50,N,916,0.8333333333333334
English,GBR_014,site_GBR_014_50,Y,752.5,1
English,GBR_014,site_GBR_014_6,N,619.5,1
English,GBR_014,site_GBR_014_6,Y,613,1
English,GBR_014,site_GBR_014_7,N,655.5,1
English,GBR_014,site_GBR_014_7,Y,585,1
English,GBR_014,site_GBR_014_8,N,638.5,1
English,GBR_014,site_GBR_014_8,Y,511.5,1
English,GBR_014,site_GBR_014_9,N,485,0.9166666666666666
English,GBR_014,site_GBR_014_9,Y,484.5,1
English,GBR_043,site_GBR_043_1,N,708,0.8333333333333334
English,GBR_043,site_GBR_043_1,Y,631.5,1
English,GBR_043,site_GBR_043_10,N,864,1
English,GBR_043,site_GBR_043_10,Y,661,1
English,GBR_043,site_GBR_043_11,N,575,0.9166666666666666
English,GBR_043,site_GBR_043_11,Y,652,0.9166666666666666
English,GBR_043,site_GBR_043_12,N,739.5,1
English,GBR_043,site_GBR_043_12,Y,961.5,0.9166666666666666
English,GBR_043,site_GBR_043_13,N,884,0.8333333333333334
English,GBR_043,site_GBR_043_13,Y,788.5,1
English,GBR_043,site_GBR_043_14,N,548,1
English,GBR_043,site_GBR_043_14,Y,619.5,1
English,GBR_043,site_GBR_043_15,N,572.5,1
English,GBR_043,site_GBR_043_15,Y,515,1
English,GBR_043,site_GBR_043_16,N,496,0.9166666666666666
English,GBR_043,site_GBR_043_16,Y,611,0.9166666666666666
English,GBR_043,site_GBR_043_17,N,573,1
English,GBR_043,site_GBR_043_17,Y,593,1
English,GBR_043,site_GBR_043_18,N,689,1
English,GBR_043,site_GBR_043_18,Y,842.5,0.9166666666666666
English,GBR_043,site_GBR_043_19,N,657.5,1
English,GBR_043,site_GBR_043_19,Y,533,1
English,GBR_043,site_GBR_043_2,N,458.5,1
English,GBR_043,site_GBR_043_2,Y,439,1
English,GBR_043,site_GBR_043_21,N,925,1
English,GBR_043,site_GBR_043_21,Y,746.5,0.8333333333333334
English,GBR_043,site_GBR_043_22,N,694,1
English,GBR_043,site_GBR_043_22,Y,747,0.9166666666666666
English,GBR_043,site_GBR_043_23,N,525.5,0.8333333333333334
English,GBR_043,site_GBR_043_23,Y,535,1
English,GBR_043,site_GBR_043_24,N,766,0.9166666666666666
English,GBR_043,site_GBR_043_24,Y,727.5,1
English,GBR_043,site_GBR_043_28,N,553,1
English,GBR_043,site_GBR_043_28,Y,630,0.9166666666666666
English,GBR_043,site_GBR_043_29,N,925.5,1
English,GBR_043,site_GBR_043_29,Y,959.5,1
English,GBR_043,site_GBR_043_3,N,638,1
English,GBR_043,site_GBR_043_3,Y,628,0.9166666666666666
English,GBR_043,site_GBR_043_30,N,478,0.9166666666666666
English,GBR_043,site_GBR_043_30,Y,458.5,0.9166666666666666
English,GBR_043,site_GBR_043_4,N,538,1
English,GBR_043,site_GBR_043_4,Y,571,1
English,GBR_043,site_GBR_043_5,N,706,0.9166666666666666
English,GBR_043,site_GBR_043_5,Y,532.5,1
English,GBR_043,site_GBR_043_6,N,590.5,0.9166666666666666
English,GBR_043,site_GBR_043_6,Y,610.5,1
English,GBR_043,site_GBR_043_8,N,650.5,1
English,GBR_043,site_GBR_043_8,Y,592,0.9166666666666666
English,GBR_043,site_GBR_043_9,N,694.5,1
English,GBR_043,site_GBR_043_9,Y,688,1
English,MYS_003,site_MYS_003_1,N,591,0.75
English,MYS_003,site_MYS_003_1,Y,597,0.8333333333333334
